country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Kenya,-0.9698962353156556,-1.1410802517666974,-0.0005680530985822511,-1.2907919590484693,-0.2209890364371976,0.7811152238557336,0.6595076464893705,0.40511161599666823,-0.9332424473566673,0.25188501655788204,-0.647494949848401,-0.6194562128252756,-0.4240531576567561,0.3245616006675318
Kosovo,-0.011590257736318088,-0.1537389826607686,-0.22703543507108542,-0.10349642389085567,-1.0724557262791183,0.6496677773437314,0.825327914700849,-0.34124115508831904,-0.9705521591533002,-0.4029663010479155,-0.17940853773986015,-0.38705022629980457,0.26971319461222154,0.019076214780664076
Kuwait,0.7878777331645128,1.7303506709960723,0.5144589842170054,0.3473473404119168,0.47300719547806164,-0.33335000036392315,-0.5977529939550589,0.39549998804385605,-0.3390454062594471,-3.350343478888483e-16,-0.006818688902420879,0.16041427827608767,-0.3235842953140439,-0.7520189074570323
Kyrgyzstan,-0.40746711248458084,-1.0537321135056383,0.4243078571324977,-0.06836789723984306,0.06660344057645194,0.018463326534251936,0.8220990666713028,-0.21641168764521207,-1.3086922080583696,0.05036788407818729,-0.7616216514987634,-0.8303385095959318,-0.7943277153468771,-0.36999493434338854
Laos,-0.37065240563094964,-0.8410954952138994,-0.4521113251320791,-0.8503861125425175,0.9178339429880017,2.6877944744967803,-0.5862532383051691,1.5768248717368805,-0.4598440196609911,-3.350343478888483e-16,-0.906510875408739,-1.184114339695694,-2.2388748801066973,-1.3162364275256617
Latvia,-0.21245786757708748,0.6362558575108214,0.39561312300986706,0.2842796203723071,-0.7316922207714096,-0.7974448194061451,0.7288913153526995,-0.8678534807448021,-0.3617059631960824,-1.4544443507246816,0.8017624988230967,0.636686538688734,-0.5193879006655301,-0.3076111986187765
Lebanon,-0.3499523837323601,0.29436949210032853,-0.47135891736633845,0.7099006648724671,-0.5517038810834988,0.1957520735427267,0.8626646285105625,-1.564072964106697,0.770385097836272,-0.6239014149010433,-0.9190236633969989,-0.4679218593168202,0.8825014129560539,0.6767135051098293
Lesotho,-0.9589840961914337,-1.2021211692786244,-0.0005845442936282183,-2.3912400315514146,-0.3451222103419761,-0.5813621458717088,-0.0022328489960796102,0.49630467288983415,-0.4873637854772626,0.22961357066042543,0.17658578786443868,-0.1449083696081107,2.209801010593455,2.4317909421416175
Liberia,-1.4598008229003216,-2.2300991399771792,-1.1768881814438157,-1.4555974077659408,0.01829411347621902,0.3517375059778262,0.5277751998520309,-1.2198384461806766,1.4001255916891824,0.36477553045299316,-0.3746848100531861,-0.7769947268434297,0.6186076709171671,2.010262994726259
Libya,0.1538322689835859,0.43772360482727574,0.46460998085380156,-0.09013112427604052,0.31549936848117355,-0.5695058493879341,0.06428730024014252,-0.040501943865267925,1.162274484665584,-3.350343478888483e-16,-0.4742349236068623,-0.5529258173230136,1.4948015617481476,0.6103913299572917
